Unit   , x1              , y1              , x2              , y2              , x3              , y3              , EPSILON_X       , EPSILON_Y       , GAMMA_XY        , SIGMA_X         , SIGMA_Y         , TAU_XY          ,
     1 ,               0 ,               0 ,             0.5 ,             0.5 ,               0 ,             0.5 ,       -0.120568 ,               0 ,      -0.0641038 ,       -0.135639 ,      -0.0452131 ,      -0.0240389 ,
     2 ,               0 ,               0 ,             0.5 ,               0 ,             0.5 ,             0.5 ,       -0.162833 ,       0.0409079 ,      -0.0627465 ,       -0.167847 ,      -0.0150412 ,      -0.0235299 ,
     3 ,               0 ,             0.5 ,             0.5 ,               1 ,               0 ,               1 ,       -0.104657 ,               0 ,      -0.0430996 ,       -0.117739 ,      -0.0392462 ,      -0.0161624 ,
     4 ,               0 ,             0.5 ,             0.5 ,             0.5 ,             0.5 ,               1 ,       -0.120568 ,       0.0210042 ,      -0.0481922 ,       -0.127763 ,      -0.0215834 ,      -0.0180721 ,
     5 ,               0 ,               1 ,             0.5 ,             1.5 ,               0 ,             1.5 ,      -0.0942298 ,               0 ,      -0.0292043 ,       -0.106008 ,      -0.0353361 ,      -0.0109516 ,
     6 ,               0 ,               1 ,             0.5 ,               1 ,             0.5 ,             1.5 ,       -0.104657 ,       0.0138953 ,      -0.0326726 ,       -0.112528 ,       -0.023614 ,      -0.0122522 ,
     7 ,               0 ,             1.5 ,             0.5 ,               2 ,               0 ,               2 ,      -0.0855983 ,               0 ,       -0.018934 ,      -0.0962981 ,      -0.0320993 ,     -0.00710025 ,
     8 ,               0 ,             1.5 ,             0.5 ,             1.5 ,             0.5 ,               2 ,      -0.0942298 ,       0.0102703 ,      -0.0205729 ,       -0.102157 ,       -0.023782 ,     -0.00771482 ,
     9 ,               0 ,               2 ,             0.5 ,             2.5 ,               0 ,             2.5 ,      -0.0777287 ,               0 ,      -0.0109052 ,      -0.0874448 ,      -0.0291482 ,     -0.00408943 ,
    10 ,               0 ,               2 ,             0.5 ,               2 ,             0.5 ,             2.5 ,      -0.0855983 ,      0.00802885 ,      -0.0110644 ,      -0.0932873 ,      -0.0230669 ,     -0.00414914 ,
    11 ,               0 ,             2.5 ,             0.5 ,               3 ,               0 ,               3 ,      -0.0702292 ,               0 ,     -0.00444791 ,      -0.0790079 ,      -0.0263359 ,     -0.00166797 ,
    12 ,               0 ,             2.5 ,             0.5 ,             2.5 ,             0.5 ,               3 ,      -0.0777287 ,      0.00645724 ,      -0.0034057 ,      -0.0850233 ,      -0.0218838 ,     -0.00127714 ,
    13 ,               0 ,               3 ,             0.5 ,             3.5 ,               0 ,             3.5 ,       -0.062925 ,               0 ,     0.000799828 ,      -0.0707906 ,      -0.0235968 ,     0.000299935 ,
    14 ,               0 ,               3 ,             0.5 ,               3 ,             0.5 ,             3.5 ,      -0.0702292 ,      0.00524774 ,      0.00285632 ,        -0.07704 ,      -0.0204322 ,      0.00107112 ,
    15 ,               0 ,             3.5 ,             0.5 ,               4 ,               0 ,               4 ,      -0.0557348 ,               0 ,      0.00504971 ,      -0.0627016 ,      -0.0209005 ,      0.00189364 ,
    16 ,               0 ,             3.5 ,             0.5 ,             3.5 ,             0.5 ,               4 ,       -0.062925 ,      0.00424988 ,      0.00799004 ,      -0.0691969 ,      -0.0188157 ,      0.00299626 ,
    17 ,               0 ,               4 ,             0.5 ,             4.5 ,               0 ,             4.5 ,      -0.0486251 ,               0 ,      0.00843585 ,      -0.0547032 ,      -0.0182344 ,      0.00316344 ,
    18 ,               0 ,               4 ,             0.5 ,               4 ,             0.5 ,             4.5 ,      -0.0557348 ,      0.00338614 ,       0.0121594 ,      -0.0614318 ,      -0.0170911 ,      0.00455979 ,
    19 ,               0 ,             4.5 ,             0.5 ,               5 ,               0 ,               5 ,      -0.0415875 ,               0 ,       0.0110517 ,      -0.0467859 ,      -0.0155953 ,      0.00414441 ,
    20 ,               0 ,             4.5 ,             0.5 ,             4.5 ,             0.5 ,               5 ,      -0.0486251 ,       0.0026159 ,       0.0154734 ,      -0.0537222 ,      -0.0152915 ,      0.00580254 ,
    21 ,               0 ,               5 ,             0.5 ,             5.5 ,               0 ,             5.5 ,      -0.0346255 ,               0 ,       0.0129683 ,      -0.0389537 ,      -0.0129845 ,      0.00486312 ,
    22 ,               0 ,               5 ,             0.5 ,               5 ,             0.5 ,             5.5 ,      -0.0415875 ,      0.00191657 ,       0.0180138 ,      -0.0460672 ,      -0.0134391 ,      0.00675516 ,
    23 ,               0 ,             5.5 ,             0.5 ,               6 ,               0 ,               6 ,      -0.0277456 ,               0 ,       0.0142404 ,      -0.0312138 ,      -0.0104046 ,      0.00534017 ,
    24 ,               0 ,             5.5 ,             0.5 ,             5.5 ,             0.5 ,               6 ,      -0.0346255 ,      0.00127211 ,       0.0198482 ,      -0.0384766 ,      -0.0115534 ,      0.00744308 ,
    25 ,               0 ,               6 ,             0.5 ,             6.5 ,               0 ,             6.5 ,      -0.0209526 ,               0 ,       0.0149059 ,      -0.0235717 ,     -0.00785723 ,      0.00558972 ,
    26 ,               0 ,               6 ,             0.5 ,               6 ,             0.5 ,             6.5 ,      -0.0277456 ,     0.000665481 ,       0.0210334 ,      -0.0309642 ,     -0.00965592 ,      0.00788753 ,
    27 ,               0 ,             6.5 ,             0.5 ,               7 ,               0 ,               7 ,      -0.0142484 ,               0 ,       0.0149792 ,      -0.0160294 ,     -0.00534313 ,      0.00561722 ,
    28 ,               0 ,             6.5 ,             0.5 ,             6.5 ,             0.5 ,               7 ,      -0.0209526 ,     7.33208e-05 ,       0.0216102 ,      -0.0235442 ,     -0.00777474 ,      0.00810382 ,
    29 ,               0 ,               7 ,             0.5 ,             7.5 ,               0 ,             7.5 ,     -0.00763432 ,               0 ,       0.0144409 ,     -0.00858861 ,     -0.00286287 ,      0.00541534 ,
    30 ,               0 ,               7 ,             0.5 ,               7 ,             0.5 ,             7.5 ,      -0.0142484 ,    -0.000538349 ,       0.0215933 ,      -0.0162313 ,     -0.00594877 ,      0.00809748 ,
    31 ,               0 ,             7.5 ,             0.5 ,               8 ,               0 ,               8 ,     -0.00112061 ,               0 ,       0.0132223 ,     -0.00126069 ,    -0.000420228 ,      0.00495838 ,
    32 ,               0 ,             7.5 ,             0.5 ,             7.5 ,             0.5 ,               8 ,     -0.00763432 ,     -0.00121855 ,       0.0209546 ,     -0.00904557 ,     -0.00423374 ,      0.00785798 ,
    33 ,               0 ,               8 ,             0.5 ,             8.5 ,               0 ,             8.5 ,      0.00525274 ,               0 ,       0.0111856 ,      0.00590933 ,      0.00196977 ,      0.00419459 ,
    34 ,               0 ,               8 ,             0.5 ,               8 ,             0.5 ,             8.5 ,     -0.00112061 ,     -0.00203677 ,       0.0195957 ,     -0.00202447 ,     -0.00271159 ,      0.00734839 ,
    35 ,               0 ,             8.5 ,             0.5 ,               9 ,               0 ,               9 ,       0.0113618 ,               0 ,      0.00809601 ,        0.012782 ,      0.00426067 ,        0.003036 ,
    36 ,               0 ,             8.5 ,             0.5 ,             8.5 ,             0.5 ,               9 ,      0.00525274 ,     -0.00308957 ,       0.0172946 ,      0.00475074 ,     -0.00150599 ,      0.00648549 ,
    37 ,               0 ,               9 ,             0.5 ,             9.5 ,               0 ,             9.5 ,       0.0168412 ,               0 ,      0.00358877 ,       0.0189464 ,      0.00631546 ,      0.00134579 ,
    38 ,               0 ,               9 ,             0.5 ,               9 ,             0.5 ,             9.5 ,       0.0113618 ,     -0.00450724 ,       0.0135755 ,       0.0110918 ,    -0.000809978 ,       0.0050908 ,
    39 ,               0 ,             9.5 ,             0.5 ,              10 ,               0 ,              10 ,       0.0205223 ,               0 ,     -0.00288376 ,       0.0230876 ,      0.00769586 ,     -0.00108141 ,
    40 ,               0 ,             9.5 ,             0.5 ,             9.5 ,             0.5 ,              10 ,       0.0168412 ,     -0.00647253 ,      0.00726984 ,       0.0165192 ,    -0.000966134 ,      0.00272619 ,
    41 ,             0.5 ,               0 ,               1 ,             0.5 ,             0.5 ,             0.5 ,       -0.129709 ,       0.0409079 ,      -0.0205557 ,       -0.130582 ,      -0.0026195 ,     -0.00770838 ,
    42 ,             0.5 ,               0 ,               1 ,               0 ,               1 ,             0.5 ,       -0.135292 ,       0.0415865 ,       -0.015651 ,       -0.136609 ,     -0.00394973 ,     -0.00586913 ,
    43 ,             0.5 ,             0.5 ,               1 ,               1 ,             0.5 ,               1 ,       -0.113546 ,       0.0210042 ,      -0.0340416 ,       -0.119863 ,        -0.01895 ,      -0.0127656 ,
    44 ,             0.5 ,             0.5 ,               1 ,             0.5 ,               1 ,               1 ,       -0.129709 ,       0.0338718 ,      -0.0307462 ,       -0.133221 ,      -0.0105351 ,      -0.0115298 ,
    45 ,             0.5 ,               1 ,               1 ,             1.5 ,             0.5 ,             1.5 ,       -0.101277 ,       0.0138953 ,      -0.0283782 ,       -0.108726 ,      -0.0223468 ,      -0.0106418 ,
    46 ,             0.5 ,               1 ,               1 ,               1 ,               1 ,             1.5 ,       -0.113546 ,       0.0250433 ,      -0.0272576 ,       -0.118348 ,       -0.014406 ,      -0.0102216 ,
    47 ,             0.5 ,             1.5 ,               1 ,               2 ,             0.5 ,               2 ,      -0.0912285 ,       0.0102703 ,      -0.0211305 ,      -0.0987806 ,      -0.0226566 ,     -0.00792394 ,
    48 ,             0.5 ,             1.5 ,               1 ,             1.5 ,               1 ,               2 ,       -0.101277 ,       0.0193136 ,      -0.0201248 ,       -0.106694 ,      -0.0162512 ,     -0.00754681 ,
    49 ,             0.5 ,               2 ,               1 ,             2.5 ,             0.5 ,             2.5 ,      -0.0823077 ,      0.00802885 ,      -0.0145103 ,      -0.0895853 ,      -0.0218329 ,     -0.00544137 ,
    50 ,             0.5 ,               2 ,               1 ,               2 ,               1 ,             2.5 ,      -0.0912285 ,       0.0154108 ,      -0.0129715 ,      -0.0968529 ,      -0.0168734 ,     -0.00486432 ,
    51 ,             0.5 ,             2.5 ,               1 ,               3 ,             0.5 ,               3 ,      -0.0739877 ,      0.00645724 ,      -0.0088022 ,      -0.0808146 ,      -0.0204809 ,     -0.00330083 ,
    52 ,             0.5 ,             2.5 ,               1 ,             2.5 ,               1 ,               3 ,      -0.0823077 ,       0.0125355 ,     -0.00656046 ,      -0.0878953 ,      -0.0167629 ,     -0.00246017 ,
    53 ,             0.5 ,               3 ,               1 ,             3.5 ,             0.5 ,             3.5 ,      -0.0660049 ,      0.00524774 ,      -0.0039842 ,      -0.0722876 ,      -0.0188481 ,     -0.00149407 ,
    54 ,             0.5 ,               3 ,               1 ,               3 ,               1 ,             3.5 ,      -0.0739877 ,        0.010261 ,     -0.00101464 ,      -0.0793882 ,      -0.0162018 ,    -0.000380489 ,
    55 ,             0.5 ,             3.5 ,               1 ,               4 ,             0.5 ,               4 ,      -0.0582273 ,      0.00424988 ,     7.64338e-06 ,      -0.0639119 ,      -0.0170541 ,     2.86627e-06 ,
    56 ,             0.5 ,             3.5 ,               1 ,             3.5 ,               1 ,               4 ,      -0.0660049 ,      0.00835575 ,      0.00367939 ,      -0.0711221 ,      -0.0153516 ,      0.00137977 ,
    57 ,             0.5 ,               4 ,               1 ,             4.5 ,             0.5 ,             4.5 ,      -0.0505939 ,      0.00338614 ,      0.00323514 ,      -0.0556484 ,      -0.0151633 ,      0.00121318 ,
    58 ,             0.5 ,               4 ,               1 ,               4 ,               1 ,             4.5 ,      -0.0582273 ,      0.00669412 ,      0.00756047 ,      -0.0629954 ,      -0.0143043 ,      0.00283518 ,
    59 ,             0.5 ,             4.5 ,               1 ,               5 ,             0.5 ,               5 ,      -0.0430825 ,       0.0026159 ,      0.00575561 ,      -0.0474869 ,       -0.013213 ,      0.00215835 ,
