Unit   , x1              , y1              , x2              , y2              , x3              , y3              , EPSILON_X       , EPSILON_Y       , GAMMA_XY        , SIGMA_X         , SIGMA_Y         , TAU_XY          ,
     1 ,               0 ,               0 ,        0.166667 ,        0.166667 ,               0 ,        0.166667 ,       -0.146491 ,               0 ,       -0.102644 ,       -0.164803 ,      -0.0549342 ,      -0.0384916 ,
     2 ,               0 ,               0 ,        0.166667 ,               0 ,        0.166667 ,        0.166667 ,       -0.206014 ,       0.0499715 ,      -0.0930932 ,       -0.213026 ,      -0.0210371 ,        -0.03491 ,
     3 ,               0 ,        0.166667 ,        0.166667 ,        0.333333 ,               0 ,        0.333333 ,       -0.127415 ,               0 ,      -0.0797282 ,       -0.143342 ,      -0.0477806 ,      -0.0298981 ,
     4 ,               0 ,        0.166667 ,        0.166667 ,        0.166667 ,        0.166667 ,        0.333333 ,       -0.146491 ,        0.022916 ,      -0.0835677 ,       -0.156209 ,      -0.0291536 ,      -0.0313379 ,
     5 ,               0 ,        0.333333 ,        0.166667 ,             0.5 ,               0 ,             0.5 ,       -0.117582 ,               0 ,      -0.0655781 ,        -0.13228 ,      -0.0440933 ,      -0.0245918 ,
     6 ,               0 ,        0.333333 ,        0.166667 ,        0.333333 ,        0.166667 ,             0.5 ,       -0.127415 ,       0.0141501 ,      -0.0698956 ,       -0.138036 ,      -0.0318617 ,      -0.0262108 ,
     7 ,               0 ,             0.5 ,        0.166667 ,        0.666667 ,               0 ,        0.666667 ,       -0.111094 ,               0 ,      -0.0554157 ,        -0.12498 ,      -0.0416601 ,      -0.0207809 ,
     8 ,               0 ,             0.5 ,        0.166667 ,             0.5 ,        0.166667 ,        0.666667 ,       -0.117582 ,       0.0101624 ,      -0.0590894 ,       -0.128469 ,      -0.0326606 ,      -0.0221585 ,
     9 ,               0 ,        0.666667 ,        0.166667 ,        0.833333 ,               0 ,        0.833333 ,       -0.106173 ,               0 ,      -0.0474593 ,       -0.119445 ,       -0.039815 ,      -0.0177972 ,
    10 ,               0 ,        0.666667 ,        0.166667 ,        0.666667 ,        0.166667 ,        0.833333 ,       -0.111094 ,      0.00795648 ,      -0.0504955 ,       -0.121997 ,       -0.032709 ,      -0.0189358 ,
