Unit   , x1              , y1              , x2              , y2              , x3              , y3              , EPSILON_X       , EPSILON_Y       , GAMMA_XY        , SIGMA_X         , SIGMA_Y         , TAU_XY          ,
     1 ,               0 ,               0 ,            0.25 ,            0.25 ,               0 ,            0.25 ,       -0.135823 ,               0 ,      -0.0879761 ,       -0.152801 ,      -0.0509337 ,       -0.032991 ,
     2 ,               0 ,               0 ,            0.25 ,               0 ,            0.25 ,            0.25 ,       -0.187874 ,       0.0461072 ,      -0.0820321 ,       -0.194069 ,      -0.0185823 ,       -0.030762 ,
     3 ,               0 ,            0.25 ,            0.25 ,             0.5 ,               0 ,             0.5 ,       -0.118766 ,               0 ,      -0.0659722 ,       -0.133611 ,      -0.0445371 ,      -0.0247396 ,
     4 ,               0 ,            0.25 ,            0.25 ,            0.25 ,            0.25 ,             0.5 ,       -0.135823 ,       0.0220039 ,      -0.0709184 ,        -0.14455 ,      -0.0261793 ,      -0.0265944 ,
     5 ,               0 ,             0.5 ,            0.25 ,            0.75 ,               0 ,            0.75 ,       -0.109476 ,               0 ,      -0.0519678 ,       -0.123161 ,      -0.0410536 ,      -0.0194879 ,
     6 ,               0 ,             0.5 ,            0.25 ,             0.5 ,            0.25 ,            0.75 ,       -0.118766 ,       0.0140044 ,      -0.0566828 ,        -0.12836 ,      -0.0287821 ,      -0.0212561 ,
     7 ,               0 ,            0.75 ,            0.25 ,               1 ,               0 ,               1 ,       -0.102907 ,               0 ,      -0.0417235 ,        -0.11577 ,      -0.0385901 ,      -0.0156463 ,
     8 ,               0 ,            0.75 ,            0.25 ,            0.75 ,            0.25 ,               1 ,       -0.109476 ,       0.0102442 ,      -0.0453985 ,       -0.119319 ,      -0.0295288 ,      -0.0170244 ,
     9 ,               0 ,               1 ,            0.25 ,            1.25 ,               0 ,            1.25 ,       -0.097575 ,               0 ,      -0.0336317 ,       -0.109772 ,      -0.0365906 ,      -0.0126119 ,
    10 ,               0 ,               1 ,            0.25 ,               1 ,            0.25 ,            1.25 ,       -0.102907 ,      0.00809179 ,      -0.0363914 ,       -0.112736 ,      -0.0294868 ,      -0.0136468 ,
    11 ,               0 ,            1.25 ,            0.25 ,             1.5 ,               0 ,             1.5 ,      -0.0928986 ,               0 ,      -0.0269384 ,       -0.104511 ,      -0.0348369 ,      -0.0101019 ,
    12 ,               0 ,            1.25 ,            0.25 ,            1.25 ,            0.25 ,             1.5 ,       -0.097575 ,      0.00669335 ,      -0.0289553 ,       -0.107262 ,      -0.0290606 ,      -0.0108582 ,
    13 ,               0 ,             1.5 ,            0.25 ,            1.75 ,               0 ,            1.75 ,      -0.0886058 ,               0 ,      -0.0212365 ,      -0.0996815 ,      -0.0332271 ,     -0.00796369 ,
    14 ,               0 ,             1.5 ,            0.25 ,             1.5 ,            0.25 ,            1.75 ,      -0.0928986 ,      0.00570186 ,      -0.0226457 ,       -0.102373 ,      -0.0284223 ,     -0.00849212 ,
    15 ,               0 ,            1.75 ,            0.25 ,               2 ,               0 ,               2 ,      -0.0845537 ,               0 ,       -0.016283 ,      -0.0951229 ,      -0.0317076 ,     -0.00610612 ,
